total timesteps,eval_returns,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_qs_difference,eval_qs
103001,543.2400027371411,6,299.5,774.4497028181818,217.94833817121088,79.701126,238.45454545454547,72.67423686684232,298.39465
103017,,,,,,,,,
103886,,,,,,,,,
104001,84.76630835626828,1,284.9,86.74132481818182,65.48789835475341,206.86066,66.18181818181819,205.62822709817758,238.73878
104929,,,,,,,,,
105001,591.5394948910754,6,328.4,592.4256599090909,176.0914095208076,134.01395,235.72727272727272,127.30563458523052,298.43387
105884,,,,,,,,,
106001,278.5404600673239,4,329.9,299.5559554545455,126.30913531320112,149.18375,148.63636363636363,144.19202821150748,247.49028
106857,,,,,,,,,
107001,140.27288733096236,3,324.7,143.72310545454545,88.56796195895402,195.34276,109.9090909090909,191.38467165160716,241.78246
107405,,,,,,,,,
108001,-54.80808798768399,6,325.4,319.171248,76.6402270763693,187.2545,231.0909090909091,182.6219717628396,250.08327
108153,,,,,,,,,
108724,,,,,,,,,
109001,369.0574301392323,5,329.6,402.4397313636364,136.72575951873526,175.39052,178.1818181818182,170.9447053018093,292.33365
109255,,,,,,,,,
110001,137.41116351147855,5,344.5,394.140141,108.99075061519558,167.95966,190.8181818181818,165.65932720066033,273.4473
110032,,,,,,,,,
110547,,,,,,,,,
111001,585.0446642306604,4,363.3,324.4464511818182,128.70136262870665,167.61003,157.0,157.24914475505446,260.38995
111055,,,,,,,,,
111690,,,,,,,,,
112001,149.45495913636447,2,309.7,136.2883548181818,88.60445361278515,193.95119,87.0,186.0701646461475,241.839
112303,,,,,,,,,
113001,136.0019926942989,4,338.9,465.7358880909092,145.90772962242934,134.74203,175.45454545454547,124.51515792824644,263.995
113167,,,,,,,,,
113517,,,,,,,,,
114001,229.6680944374967,2,295.3,151.92753218181818,91.9872285019426,190.78102,95.0,186.43476951902667,248.62724
114527,,,,,,,,,
115001,134.27529632757174,3,280.8,177.6311413636364,92.94615959448551,179.16115,110.18181818181819,177.4178959426221,243.44232
115163,,,,,,,,,
115815,,,,,,,,,
116001,698.6590418716502,5,297.0,366.85665900000004,83.90198860274896,186.1812,200.1818181818182,183.46358639264352,278.4425
116249,,,,,,,,,
117001,195.91145708192266,5,310.9,360.7091113636364,106.41462380389902,199.22243,191.72727272727272,197.84941136883936,297.91623
117189,,,,,,,,,
118001,159.48681859278358,5,317.9,449.55890890909086,116.82090451971149,180.00006,208.1818181818182,177.35893778729374,292.49246
118057,,,,,,,,,
118984,,,,,,,,,
119001,146.70499483388417,5,313.6,405.6240466363636,129.7086910700019,179.88966,191.8181818181818,178.90099842066155,304.97083
119765,,,,,,,,,
120001,484.66927096528855,5,323.1,398.153132,118.04961349662004,179.90111,200.0909090909091,179.04280642790494,296.9446
120528,,,,,,,,,
121001,576.2688271943626,5,370.4,616.77942,182.21911206911633,137.38498,204.36363636363637,131.71557388266598,307.1182
121337,,,,,,,,,
122001,599.7729119345165,6,378.0,537.2614533636365,139.74224641463758,173.8933,243.63636363636363,173.01706420574862,306.66107
122040,,,,,,,,,
122644,,,,,,,,,
123001,653.3913745451074,4,399.7,348.1737642727273,143.2108051776997,172.30464,146.45454545454547,169.30422244565295,284.5794
123303,,,,,,,,,
123986,,,,,,,,,
124001,24.799369740052704,0,388.7,26.50991990909091,21.41893894035299,270.31744,29.454545454545453,270.1546777363924,288.13556
124766,,,,,,,,,
125001,943.8794083997191,6,406.2,568.1580059999999,161.81043301779405,158.89488,216.0,154.83946161787637,312.3407
125387,,,,,,,,,
125977,,,,,,,,,
126001,354.8126844226915,3,403.0,267.40182663636364,110.61629849079306,197.3161,117.72727272727273,185.5067074985506,272.50388
126511,,,,,,,,,
127001,147.09631659790855,3,382.6,290.79384772727275,123.97295919366506,183.71255,143.45454545454547,182.4996292265766,283.94492
127169,,,,,,,,,
127787,,,,,,,,,
128001,778.3836566309906,6,391.7,550.6421486363637,171.98731850203396,151.08658,214.1818181818182,148.35625081322223,314.98068
128622,,,,,,,,,
129001,302.2582164538558,3,391.0,265.4018572727273,125.87780842510305,181.14029,124.63636363636364,172.22336110424442,266.23816
129078,,,,,,,,,
129702,,,,,,,,,
130001,637.0808992968762,5,380.8,551.4113694545456,177.0694918311649,145.98004,196.45454545454547,143.11364003669885,310.33737
130091,,,,,,,,,
130658,,,,,,,,,
131001,157.4177661243029,5,383.3,562.5679143636363,165.58589651664477,148.53352,186.36363636363637,144.18495639840924,306.04984
131372,,,,,,,,,
131952,,,,,,,,,
132001,334.5140967670119,4,402.6,457.5959327272727,177.52653544655746,164.21797,157.72727272727272,162.49397113345344,319.46732
132442,,,,,,,,,
133001,551.6811948800392,4,425.2,396.5205228181818,140.90496197526386,170.5733,167.54545454545453,166.6989264868644,293.22696
133385,,,,,,,,,
134001,817.1464632435923,6,464.5,806.6152807272728,221.31903045511362,102.56623,244.9090909090909,96.78961775303705,326.58444
134376,,,,,,,,,
