eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
485.5,167.7419526926668,86001,96.41420718181817,95.90495601218777,1,204.57025,73.37161975394837,169.53253,64.54545454545455
,,86330,,,,,,,
428.0,101.37260604781395,87001,301.5911903636363,165.83376316118427,3,213.40527,147.40994282255343,103.3213,129.0
,,87163,,,,,,,
,,87758,,,,,,,
374.4,164.60716781632613,88001,122.56785763636366,103.5659352679474,2,212.3454,82.76630228616514,165.71895,80.0
,,88218,,,,,,,
,,88526,,,,,,,
,,88898,,,,,,,
327.9,150.9342506123392,89001,103.41639572727273,103.27691564107022,1,193.41537,77.26786444701078,157.77173,63.36363636363637
,,89174,,,,,,,
,,89826,,,,,,,
250.4,150.88437333422488,90001,102.01210218181818,101.35385952176694,1,191.54517,76.42241529261184,156.37819,64.81818181818181
,,90392,,,,,,,
,,90705,,,,,,,
,,90969,,,,,,,
171.1,134.29101747197774,91001,107.38501072727273,108.11333795506854,1,179.57472,79.69340289384564,136.48586,62.90909090909091
,,91233,,,,,,,
,,91775,,,,,,,
267.2,66.02211889073396,92001,1195.3956224545454,695.4174475527014,12,290.8935,226.3406144856914,70.66063,428.72727272727275
,,92267,,,,,,,
,,92790,,,,,,,
255.2,144.20461502039845,93001,156.38817290909086,109.60015960735475,2,209.6797,101.68059514556171,145.1723,81.27272727272727
,,93073,,,,,,,
,,93605,,,,,,,
331.3,18.027044405022643,94001,886.2247678181818,870.8715376015169,7,257.67444,240.81114710394112,31.714533,270.27272727272725
,,94172,,,,,,,
429.8,28.60608702805739,95001,983.3634062727273,756.8682922187323,8,271.31677,243.44311421928595,44.258083,303.09090909090907
,,95493,,,,,,,
482.9,47.417657062790525,96001,812.6930088181817,1264.0051129291785,6,277.40317,235.20574252423287,54.977634,244.9090909090909
,,96397,,,,,,,
571.0,55.83558202410746,97001,901.050562,839.9823513365075,8,289.7422,223.18984644252305,60.213024,288.72727272727275
,,97119,,,,,,,
674.4,63.049664612465044,98001,1002.8053519090911,391.87088766650857,8,296.63312,230.7172261710755,69.054146,315.72727272727275
,,98469,,,,,,,
731.5,95.18641921231038,99001,624.717587,417.33092177772295,6,276.07178,193.35311717673878,100.39409,211.0909090909091
,,99554,,,,,,,
805.4,79.61009439762903,100001,792.6602845454545,585.96580649721,6,298.4442,218.8321321459728,87.96665,245.1818181818182
,,100409,,,,,,,
757.4,108.16454152223592,101001,643.0970732727274,687.9791133396699,7,293.35953,155.64242708862741,111.28918,249.63636363636363
,,101548,,,,,,,
794.6,104.01195781833776,102001,608.5940056363637,578.1528038585693,5,300.81528,193.54928016476322,105.34184,203.9090909090909
,,102530,,,,,,,
787.9,85.38158035018317,103001,681.8518916363636,469.6741651888472,6,284.87772,206.8050310751728,91.53129,225.36363636363637
,,103260,,,,,,,
746.4,95.76670356164244,104001,606.4569680909091,674.9669114239191,5,290.30667,201.80691101717682,102.542854,206.54545454545453
,,104167,,,,,,,
,,104861,,,,,,,
706.1,115.08284419950319,105001,419.5281224545454,402.7525779481086,4,256.35898,164.64129075565094,124.22878,156.36363636363637
,,105525,,,,,,,
693.2,84.59847962531025,106001,830.021374090909,706.6365382598102,7,300.77078,208.24517151223807,94.43963,269.8181818181818
,,106417,,,,,,,
658.9,81.28276502287059,107001,778.5390585454545,1110.931305365428,7,292.58084,219.39947451771334,87.04021,255.36363636363637
,,107327,,,,,,,
651.9,106.28528608052005,108001,551.7693741818182,720.2097770132177,5,243.70566,148.33547058725642,114.49301,190.63636363636363
,,108704,,,,,,,
660.0,77.09310700186164,109001,821.4056807272729,475.167506931058,6,294.079,220.25623022999264,105.56281,244.63636363636363
,,109924,,,,,,,
670.5,104.00975249531167,110001,712.9749665454545,558.0573691136229,6,317.84613,219.776444451136,105.55954,221.63636363636363
,,110863,,,,,,,
684.1,101.31305809526094,111001,867.0944346363635,1567.6472379187942,8,313.91852,215.5915241200469,104.36157,286.1818181818182
,,111893,,,,,,,
