eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
,,,,,,,65678,,
,,,,,,,65963,,
234.76544854681896,236.09419790794792,62.09090909090909,228.01946885616223,465.5,322.37135445454544,370.27487,66001,239.03227,1
,,,,,,,66164,,
,,,,,,,66614,,
,,,,,,,66979,,
344.24706995004516,45.39332239370763,124.36363636363636,719.2627560615241,478.1,614.4828742727273,257.30164,67001,74.77151,4
,,,,,,,67313,,
,,,,,,,67672,,
,,,,,,,67962,,
291.59781047040195,79.77315269614337,93.0,462.9101284207732,476.3,460.5035064545455,251.4505,68001,88.06534,3
,,,,,,,68275,,
,,,,,,,68600,,
,,,,,,,68816,,
317.369032884124,76.55948247168544,101.9090909090909,713.8920677721246,485.8,525.1383194545455,266.67734,69001,86.06963,3
,,,,,,,69207,,
,,,,,,,69490,,
,,,,,,,69774,,
359.19553840996815,50.60375768704341,122.36363636363636,679.5571102008588,517.9,632.3862018181818,271.34543,70001,59.92311,4
,,,,,,,70116,,
,,,,,,,70487,,
,,,,,,,70828,,
310.8461195814161,89.40550374694031,94.54545454545455,593.413687126123,508.7,483.7489280909092,272.89514,71001,92.894135,3
,,,,,,,71186,,
,,,,,,,71572,,
,,,,,,,71927,,
315.5538085628338,33.21663835099434,93.0909090909091,466.6321171575204,508.6,490.969766,220.52513,72001,60.13971,3
,,,,,,,72268,,
,,,,,,,72743,,
353.750944536915,41.154176814629565,124.0,832.5511843799121,523.5,627.0936726363635,256.44193,73001,57.1718,4
,,,,,,,73276,,
,,,,,,,73613,,
,,,,,,,73933,,
329.8373356901653,68.25052985458042,114.27272727272727,512.2542376162153,522.7,552.0576796363636,259.67282,74001,77.45003,3
,,,,,,,74378,,
,,,,,,,74771,,
265.41534344050666,71.93305038435363,76.45454545454545,363.5329581060595,527.1,389.1722850909091,225.23209,75001,82.07248,2
,,,,,,,75169,,
,,,,,,,75644,,
285.0556061328048,88.11655421520011,85.54545454545455,407.1838952751121,514.2,427.4432050909091,255.99574,76001,96.92983,2
,,,,,,,76108,,
,,,,,,,76575,,
,,,,,,,76942,,
334.04167214261304,87.23387320649098,119.45454545454545,452.061674024777,521.7,583.7591025454545,290.57736,77001,90.339554,3
,,,,,,,77330,,
,,,,,,,77723,,
341.9976875791402,44.1935188225697,127.45454545454545,351.42875440872416,535.5,629.513391909091,257.08472,78001,64.582,4
,,,,,,,78080,,
,,,,,,,78456,,
,,,,,,,78847,,
281.3445306709484,72.61528088195222,91.45454545454545,369.721641415804,515.6,431.5199678181818,232.69456,79001,79.12841,2
,,,,,,,79275,,
,,,,,,,79698,,
309.94020622628136,77.35166983713012,98.0,591.8803788542835,512.6,494.652565,262.5756,80001,89.6295,3
,,,,,,,80123,,
,,,,,,,80466,,
,,,,,,,80820,,
330.97839839779596,44.257560855839536,102.0,620.9579687645545,517.7,539.6075780000001,247.43648,81001,59.555298,3
,,,,,,,81174,,
,,,,,,,81561,,
,,,,,,,81897,,
315.14378664223636,59.198799538049755,105.36363636363636,837.1861090267731,505.2,512.1354425454546,240.77924,82001,68.9219,3
,,,,,,,82284,,
,,,,,,,82676,,
316.36383599910863,76.91324954850514,105.81818181818181,606.5993842132954,503.8,517.3809075454545,261.8308,83001,82.213165,3
,,,,,,,83105,,
,,,,,,,83588,,
332.1659138286299,45.44739379415379,104.54545454545455,452.02763487776963,518.0,547.6115860909091,247.28656,84001,64.64816,3
,,,,,,,84066,,
,,,,,,,84513,,
,,,,,,,84916,,
327.1643255592794,56.13612081959869,103.0909090909091,436.0741201080456,531.6,538.4618985454546,254.44977,85001,68.62257,3
,,,,,,,85438,,
,,,,,,,85781,,
327.908918739461,51.20513557261027,101.81818181818181,553.3140030131896,525.5,524.7711282727272,246.57973,86001,63.36694,3
,,,,,,,86137,,
,,,,,,,86563,,
,,,,,,,86984,,
292.0031945717473,74.1199836028054,82.72727272727273,477.09236924203924,503.0,437.65753590909094,246.10727,87001,87.176506,2
,,,,,,,87408,,
,,,,,,,87845,,
316.53968045324496,47.97221383926123,103.9090909090909,431.3832883195835,514.6,506.8693605454546,230.09634,88001,61.3706,3
,,,,,,,88239,,
,,,,,,,88679,,
339.15818789015543,39.01363921635403,114.63636363636364,577.6396448254997,521.2,570.5000962727273,239.5645,89001,60.019527,3
,,,,,,,89064,,
,,,,,,,89671,,
316.4746805091268,53.13494255270252,95.72727272727273,530.7051956267425,518.6,498.9459919090909,242.39044,90001,68.11835,3
,,,,,,,90113,,
,,,,,,,90498,,
,,,,,,,90906,,
304.06275258069246,76.00204521430697,98.36363636363636,387.89646738975995,520.6,506.3161088181818,258.92395,91001,89.87893,3
,,,,,,,91333,,
,,,,,,,91744,,
339.98146030201735,48.55368490361625,113.63636363636364,482.12922005350106,522.7,575.072532,252.6043,92001,54.212685,3
,,,,,,,92145,,
,,,,,,,92520,,
,,,,,,,92975,,
358.15306929329626,39.99894985727213,122.9090909090909,865.7789301432499,528.7,632.6948530000001,260.79007,93001,58.897366,4
,,,,,,,93435,,
,,,,,,,93829,,
314.11226477761903,55.161386169286146,91.27272727272727,409.6996129010696,525.3,487.38321799999994,245.84663,94001,64.39909,3
,,,,,,,94382,,
,,,,,,,94793,,
346.64260785245847,39.88280207336374,112.72727272727273,507.35968206804426,534.0,586.364503,250.31512,95001,54.59564,3
,,,,,,,95203,,
,,,,,,,95705,,
330.23684377834036,46.74559283559285,101.72727272727273,450.4496893880981,544.4,532.9033937272727,246.47858,96001,65.73878,3
,,,,,,,96235,,
,,,,,,,96601,,
387.15336057729985,22.93646217192245,159.9090909090909,629.6283869444687,574.9,813.972567,268.15015,97001,66.243065,5
,,,,,,,97018,,
,,,,,,,97515,,
318.1791040974836,74.98682128043912,97.18181818181819,484.25774272367624,570.6,503.034235,265.8972,98001,78.47875,3
,,,,,,,98058,,
,,,,,,,98531,,
,,,,,,,98874,,
340.0640734943467,60.20066051041189,123.54545454545455,368.89256895918186,586.1,618.1807430909091,269.33395,99001,73.02655,4
,,,,,,,99240,,
,,,,,,,99839,,
382.0293749334724,46.65210308369375,143.8181818181818,591.0908594620798,604.8,729.2655510909091,283.89688,100001,59.8537,4
,,,,,,,100304,,
,,,,,,,100851,,
390.45797994137956,43.61223742350378,153.8181818181818,730.6095254844367,629.6,777.5392491818183,289.96036,101001,51.375134,5
,,,,,,,101411,,
348.9977449352486,52.44857681750645,129.54545454545453,429.12865132827625,632.3,622.8995983636363,258.36755,102001,62.00087,4
,,,,,,,102044,,
,,,,,,,102479,,
,,,,,,,102956,,
405.62048873930956,19.0031599485562,165.54545454545453,911.931979067743,661.8,823.7730793636365,272.6261,103001,37.625034,5
,,,,,,,103595,,
284.55325442335464,96.17528784540386,88.36363636363636,370.43135011522116,654.7,446.62372799999997,265.38345,104001,101.36884,2
,,,,,,,104043,,
,,,,,,,104353,,
,,,,,,,104852,,
379.25203308865713,51.70762459013881,133.72727272727272,688.3849802093162,666.8,707.4326991818182,292.2085,105001,61.561954,4
,,,,,,,105387,,
,,,,,,,105954,,
320.7917157012816,58.704792260272036,117.0909090909091,1103.2358911427368,648.3,558.404680909091,251.15543,106001,76.12411,3
,,,,,,,106402,,
294.77776178526125,56.41171453754321,93.81818181818181,444.0547361148018,637.9,455.54847481818183,228.88304,107001,69.41946,3
,,,,,,,107001,,
,,,,,,,107402,,
,,,,,,,107857,,
303.16921998923425,65.35957337191509,102.0909090909091,706.8636253012426,619.3,500.1779413636363,246.66222,108001,74.66669,3
,,,,,,,108335,,
,,,,,,,108698,,
384.0782260787324,42.127142070875315,161.45454545454547,634.2488162193973,630.6,793.1308289999998,282.6917,109001,62.707523,5
,,,,,,,109136,,
,,,,,,,109622,,
282.6448848469992,79.67185955634483,92.0909090909091,379.00783633349397,595.9,425.9770316363636,235.06596,110001,85.89306,3
