eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
112.0909090909091,319.4402212664609,67.66011869486289,527.0503061818182,72.30716,559.1,471.731058131012,3,250.24521,84001
,,,,,,,,,84279
,,,,,,,,,84738
118.0,345.5448945884733,58.34384368251319,597.4235175454546,73.21943,569.1,458.15365475238053,3,269.68094,85001
,,,,,,,,,85299
,,,,,,,,,85725
134.72727272727272,361.6973482028921,53.32460195350197,677.2860920909092,67.07575,581.9,396.70212135887067,4,277.49756,86001
,,,,,,,,,86217
,,,,,,,,,86846
105.81818181818181,321.60360527086,125.36333932904863,536.150105090909,129.8525,587.7,899.7646744198605,3,318.96634,87001
,,,,,,,,,87336
,,,,,,,,,87952
166.1818181818182,392.4273872005572,39.69975991724841,818.760381090909,64.59681,623.8,835.5391119972353,5,289.74286,88001
,,,,,,,,,88523
139.9090909090909,358.3657043570772,52.29490892388614,677.3629784545454,66.432236,634.9,753.8657945443447,4,273.6982,89001
,,,,,,,,,89192
,,,,,,,,,89691
166.8181818181818,392.70740033255294,41.287379979794586,816.7572923636363,54.79923,642.0,661.2093066992742,5,290.52795,90001
,,,,,,,,,90239
,,,,,,,,,90777
129.72727272727272,338.06007990112096,65.86295314837427,610.8937106363636,77.217766,649.4,565.6365147877282,4,267.31815,91001
,,,,,,,,,91328
,,,,,,,,,91810
142.9090909090909,366.99738566475384,57.47612419550573,713.9688917272726,67.37308,661.9,779.7290844176014,4,288.83575,92001
,,,,,,,,,92420
,,,,,,,,,92869
136.63636363636363,366.3712283294613,64.06769744781758,681.2057405454544,74.16967,680.2,468.90952876903754,4,291.36395,93001
,,,,,,,,,93435
,,,,,,,,,93910
105.18181818181819,300.652745438967,100.3196497856858,476.9110255454545,102.93777,666.8,501.3689620033604,3,267.53397,94001
,,,,,,,,,94330
,,,,,,,,,94817
134.8181818181818,364.30060026364214,72.55115281933878,679.092031,78.11586,660.7,998.8026556300745,4,298.15192,95001
,,,,,,,,,95341
,,,,,,,,,95891
123.63636363636364,362.3846833625128,42.02407018844261,640.3306352727272,64.87214,677.8,763.5273077238681,3,265.81998,96001
,,,,,,,,,96470
137.1818181818182,367.6939447690048,61.47550414618972,681.420527909091,65.15362,666.1,514.0878633763963,4,289.14218,97001
,,,,,,,,,97328
130.27272727272728,357.1129289321311,87.73412620893377,644.7004535454546,97.97744,663.1,596.6857886838588,4,307.49222,98001
,,,,,,,,,98038
,,,,,,,,,98512
134.8181818181818,359.8739781230933,74.12963725787291,674.5171808181818,88.244484,649.1,480.0310728355727,4,298.88376,99001
,,,,,,,,,99034
,,,,,,,,,99853
141.27272727272728,356.79915216345654,80.39798376970482,661.0029954545454,85.00283,649.6,608.6836806190371,4,292.8414,100001
,,,,,,,,,100458
147.27272727272728,356.2920928989213,70.25200985578596,681.8857360000001,77.969604,647.1,607.7132614255014,4,283.8851,101001
,,,,,,,,,101024
,,,,,,,,,101684
146.63636363636363,377.6221607812955,61.809683819695124,734.8332536363637,77.14322,653.7,753.0837256870495,4,299.28793,102001
,,,,,,,,,102340
,,,,,,,,,102934
159.27272727272728,386.3694644176816,67.39496672238344,778.2740672727273,77.696655,681.2,720.0823474395379,5,310.1843,103001
,,,,,,,,,103673
146.72727272727272,374.1463297395901,76.30498890058969,729.3753929090909,83.61267,695.9,663.3529402451745,4,313.3131,104001
,,,,,,,,,104299
167.0,394.64853871733425,66.2619930170862,838.8902659090909,76.19374,712.4,718.236424017428,5,323.19656,105001
,,,,,,,,,105018
,,,,,,,,,105590
139.54545454545453,366.5070179245732,87.17229262855766,677.9785453636364,90.804985,710.7,739.6731244387925,4,310.9041,106001
,,,,,,,,,106403
,,,,,,,,,106892
182.54545454545453,403.37614328429186,67.01493569851014,895.8399294545453,72.13969,736.1,1099.7350037808494,5,327.77817,107001
,,,,,,,,,107611
157.72727272727272,364.87100380165657,101.28824902067912,758.2664727272727,109.15551,749.2,592.057962683493,5,326.91428,108001
,,,,,,,,,108313
119.72727272727273,329.75920093693526,92.46094346353192,562.6735676363637,98.798676,739.4,474.65778908891764,3,287.53146,109001
,,,,,,,,,109271
,,,,,,,,,109886
154.0909090909091,388.35768951048544,79.6112834054681,779.1682666363636,84.41934,747.2,704.8296065814707,4,329.26495,110001
,,,,,,,,,110536
142.0,347.61812259563357,84.36953354172302,654.4295446363636,90.59405,740.2,608.7450553659082,4,294.2171,111001
,,,,,,,,,111141
,,,,,,,,,111523
147.27272727272728,366.9671387330749,98.1601854196227,705.9424490909091,108.25086,738.1,588.9674774826118,4,325.25156,112001
,,,,,,,,,112077
,,,,,,,,,112462
122.0909090909091,328.696900807372,80.51737111717213,565.3455534545454,93.07989,718.8,534.1452687033985,3,271.88342,113001
,,,,,,,,,113079
,,,,,,,,,113548
183.45454545454547,384.78840330423793,69.62079355270534,891.0508495454545,82.13801,721.9,600.7397570422139,5,317.7837,114001
,,,,,,,,,114109
,,,,,,,,,114634
182.63636363636363,392.0510832136042,83.23217938772095,892.6555084545454,87.93652,745.5,614.929298363614,5,338.56586,115001
,,,,,,,,,115199
,,,,,,,,,115620
166.9090909090909,377.06697515128093,90.64369844049718,801.2776669090908,102.19026,741.2,987.7630076080753,5,330.60703,116001
,,,,,,,,,116272
,,,,,,,,,116947
144.63636363636363,375.1510130717017,74.43822674660099,716.6194656363637,86.89586,728.7,678.3666843964259,4,309.25363,117001
,,,,,,,,,117628
142.0,355.3363105382043,87.89861201499721,681.8221986363636,93.873436,737.9,751.2460289939465,4,305.47522,118001
,,,,,,,,,118147
,,,,,,,,,118921
152.45454545454547,361.86355076842614,82.27279642532699,740.0483577272727,89.97448,742.2,502.8987524504796,4,308.56912,119001
,,,,,,,,,119541
161.45454545454547,385.7823968693958,78.07155111639342,796.1957508181819,84.6962,751.5,725.2654597440695,5,322.73386,120001
,,,,,,,,,120133
,,,,,,,,,120667
