eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
,,99474,,,,,,,
57.56541293369201,279.57666,100001,233.45828577087613,227.8181818181818,60.084568,737.6624694545454,710.3187276341115,737.8,6
,,100275,,,,,,,
66.47528596660278,280.39838,101001,233.58774776216706,216.36363636363637,68.30112,694.1020750909091,695.8076679079539,710.8,6
,,101027,,,,,,,
,,101870,,,,,,,
44.231408233528164,278.0309,102001,246.93004336877704,231.9090909090909,45.43704,787.6830813636363,780.5360176232584,713.0,6
,,102683,,,,,,,
20.491716467532854,267.5353,103001,254.05695115754105,219.0909090909091,26.275026,792.9880676363636,845.5136001944104,723.7,6
,,103512,,,,,,,
43.466418124502304,272.37564,104001,244.21859492665698,230.36363636363637,46.106487,770.1419070000001,731.4363629869849,775.0,6
,,104368,,,,,,,
27.42655447849739,275.54688,105001,251.63899065347022,276.0,43.734684,939.929515181818,781.6208659864582,803.8,8
,,105265,,,,,,,
65.15368601958029,286.4164,106001,235.8584804840984,240.9090909090909,67.23343,766.5524744545455,776.5829812827101,789.2,7
,,106145,,,,,,,
39.17490372488226,276.8805,107001,245.4171053542673,242.72727272727272,41.476902,820.6935104545454,770.7306722668583,776.4,7
,,107117,,,,,,,
58.089192211990394,274.6804,108001,234.03653056143423,206.0909090909091,59.548096,681.4664791818182,634.9164799555089,774.8,5
,,108094,,,,,,,
71.0078050047773,291.98508,109001,237.12951817318037,235.54545454545453,72.530495,755.2845997272726,758.2315079025569,777.6,6
,,109164,,,,,,,
,,109931,,,,,,,
276.4411871069094,295.90344,110001,31.822484922509208,27.727272727272727,276.4412,36.910829,35.54213970643785,712.2,0
,,110345,,,,,,,
66.48435327481538,285.85706,111001,229.853008538846,262.6363636363636,70.841644,838.7968109090908,944.8439386297775,710.5,7
,,111212,,,,,,,
19.340311250755466,265.91077,112001,249.41079265821116,249.0909090909091,24.180513,861.2755967272728,935.2861002127912,717.9,7
,,112580,,,,,,,
12.060854974019595,267.2882,113001,246.90876608780215,269.90909090909093,15.7841215,933.8182927272727,1031.9075010687484,734.2,7
,,113629,,,,,,,
19.538691202981212,255.8897,114001,246.18407879323613,209.9090909090909,25.63023,740.3265996363638,707.8454669565921,718.4,6
,,114489,,,,,,,
31.901848792105202,272.7646,115001,247.76497733892074,264.54545454545456,37.58691,883.2922165454544,807.9128508149201,728.0,7
,,115519,,,,,,,
50.20967771410171,270.034,116001,238.2583050242855,217.72727272727272,51.154873,714.493173,715.9129188392901,717.5,6
,,116410,,,,,,,
52.70017287443004,309.93243,117001,254.47242224310304,763.5454545454545,55.961315,2218.120771181818,2808.4126970693346,864.9,22
,,117653,,,,,,,
13.955206146936787,275.147,118001,258.040190420029,302.0,17.869514,1044.725437,1013.0500327025019,914.8,8
,,118649,,,,,,,
11.114107980916138,272.78488,119001,253.04801084262854,276.6363636363636,16.230013,974.423453090909,997.0747707432191,1003.8,8
