eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,7846.012046536083,604.4851952105422,8068.5,769.8111,92.170876,37.508563894536195,28,7921.465222363636,189001
1000.0,7835.250015116641,607.1073063984824,8014.1,768.44104,90.25121,40.034939600699225,28,7885.097126727273,190001
1000.0,8081.0318440659985,613.7847621893687,7996.7,769.1879,99.52976,23.56646222964516,29,8063.862064000001,191001
,,,,,,,,,192000
1000.0,8597.273223670074,619.929414569081,8042.3,772.97485,125.54662,-18.262551553033685,29,8526.104781545457,192001
1000.0,8080.234131495005,605.2412122898427,8012.1,773.4724,95.50961,28.296701597260213,29,8050.946238272728,193001
1000.0,8175.848028339235,612.7310336332787,8019.5,773.1606,102.19886,20.682900182015,29,8131.381000363635,194001
1000.0,8519.01746539995,617.8422174011127,8069.8,773.269,119.1343,-7.574516643640023,28,8420.099446727274,195001
,,,,,,,,,196000
1000.0,8147.1811761415265,611.6151547128155,8097.0,773.27734,96.17103,27.013316661204748,28,8068.1399399090915,196001
1000.0,8069.685553425332,595.2767698431257,8106.0,774.936,89.810875,39.95793557229777,28,7939.1048315454545,197001
1000.0,7840.867902338502,609.0883382932872,8105.6,774.73285,84.84077,47.143799669006064,28,7878.887838363636,198001
1000.0,8114.247619424228,604.8235596763034,8112.9,774.93945,90.72365,36.55048690396793,28,7982.664542454545,199001
,,,,,,,,,200000
1000.0,7979.756559898345,603.6310003004779,8108.2,777.3523,89.49104,41.25143218158851,28,7958.603428636363,200001
1000.0,8304.05651810356,597.6830385187776,8074.5,778.91425,99.348015,20.94720449860473,28,8171.376841181817,201001
1000.0,8296.648970521894,603.2202375148885,8087.1,778.1629,107.04507,12.021388681900817,28,8258.603010181818,202001
1000.0,8233.144264086257,612.2177105538162,8092.6,780.8631,98.86882,26.028254711985742,28,8154.444633636364,203001
,,,,,,,,,204000
1000.0,7684.076514750916,587.9813163018663,8022.3,778.97516,83.52379,70.46724491296857,28,7667.180974181817,204001
1000.0,8232.859097214015,615.7768025611223,8031.3,783.0071,106.227325,15.313392761708531,28,8286.555685818183,205001
1000.0,8251.785823405186,613.641379791843,8058.9,785.72943,98.928024,26.24312597063528,28,8202.368017727273,206001
1000.0,8183.767264140663,608.9728665327387,8085.7,784.7771,97.10621,31.292656480687853,28,8137.726792181818,207001
,,,,,,,,,208000
1000.0,7884.7544305743495,587.4971195647252,8083.1,784.72363,86.54594,52.426815893698794,28,7904.590095727272,208001
1000.0,8202.918260430397,576.210820568575,8102.3,786.39984,99.229645,27.39535117814913,28,8160.494002,209001
1000.0,8243.690804569384,593.9819497362397,8118.4,790.24225,103.64919,22.308747276557575,27,8267.377586909091,210001
