eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
243.0,52.97711,298.97607,812.0610974156353,130001,253.82383800979787,925.4,51.1000919448557,6,856.9698729090909
,,,,130438,,,,,
324.54545454545456,43.470364,306.6664,1206.1401203176345,131001,255.75244391448004,909.1,41.786104364417994,9,1116.6526390000001
,,,,131340,,,,,
,,,,131946,,,,,
33.72727272727273,276.7993,304.50632,52.52055720746264,132001,46.650068338252844,829.9,276.7992741711436,0,55.563117727272726
,,,,132963,,,,,
265.0,37.93086,301.9803,991.4510412662589,133001,258.22693677724874,811.7,37.43207957182043,7,957.078447818182
324.54545454545456,96.733154,343.43945,1089.604645541371,134001,251.18293561085576,828.0,94.9617142949589,9,1069.1271
,,,,134273,,,,,
282.3636363636364,50.48872,309.0399,1069.7120395425245,135001,256.6722114461361,839.8,48.29559245121564,8,991.309582090909
,,,,135394,,,,,
283.6363636363636,32.507504,283.24176,795.9140479501885,136001,249.9238902270392,866.7,21.252171395000595,8,993.9080809999999
,,,,136480,,,,,
270.8181818181818,75.765236,317.24747,1341.883082823263,137001,238.68291066320143,856.9,69.48966801089388,7,948.4544685454547
,,,,137352,,,,,
390.45454545454544,48.680893,320.19855,1525.976870007954,138001,251.67654678305124,914.4,46.577998370984524,11,1325.0112335454544
,,,,138633,,,,,
247.63636363636363,55.589024,301.37024,710.9770359419949,139001,246.90714020623517,924.5,54.051022886693154,7,869.326158
,,,,139814,,,,,
354.1818181818182,61.198605,322.51352,1040.1437155237863,140001,244.4583876968228,937.8,59.653207197681496,10,1185.7444357272727
635.3636363636364,41.97076,340.40723,1897.2475417139867,141001,255.94779644092222,1137.9,41.35519681801608,18,2166.9237484545456
,,,,141134,,,,,
